timestamp,run,container,test,container_blkio_device_usage_total,container_cpu_load_average_10s,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_fs_inodes_free,container_fs_inodes_total,container_fs_io_current,container_fs_io_time_seconds_total,container_fs_io_time_weighted_seconds_total,container_fs_limit_bytes,container_fs_read_seconds_total,container_fs_reads_bytes_total,container_fs_reads_merged_total,container_fs_reads_total,container_fs_sector_reads_total,container_fs_sector_writes_total,container_fs_usage_bytes,container_fs_write_seconds_total,container_fs_writes_bytes_total,container_fs_writes_merged_total,container_fs_writes_total,container_last_seen,container_memory_cache,container_memory_failcnt,container_memory_failures_total,container_memory_kernel_usage,container_memory_mapped_file,container_memory_max_usage_bytes,container_memory_rss,container_memory_swap,container_memory_usage_bytes,container_memory_working_set_bytes,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_oom_events_total,container_spec_cpu_period,container_spec_cpu_shares,container_spec_memory_limit_bytes,container_spec_memory_reservation_limit_bytes,container_spec_memory_swap_limit_bytes,container_start_time_seconds,container_tasks_state
1739745348,LO2_run_1739743201,light-oauth2-node_exporter-1,update_client_400_clientProfile,0,0,15.260436,40.279863,25.019427,0,5,0,0.11436747,0.19334845,1078945869824,0.0008204,65536,2889923,2150561,73112618,3842890656,73728,0.192528049,0,204885449,84131336,1739745347,65536,0,1,0,61440,17166336,10887168,0,16031744,16031744,1330371,0,0,10680,32267735,0,0,8543,0,100000,2597,0,0,0,1739743203,0
1739745349,LO2_run_1739743201,light-oauth2-node_exporter-1,update_client_400_clientProfile,0,0,15.276949,40.321584,25.044635,0,5,0,0.114367685,0.193351575,1078945869824,0.000820406,65536,2889923,2150562,73112626,3842934664,73728,0.192531168,0,204885690,84131437,1739745348,65536,0,1,0,61440,17166336,10518528,0,15384576,15384576,1331617,0,0,10690,32298020,0,0,8551,0,100000,2597,0,0,0,1739743203,0
1739745350,LO2_run_1739743201,light-oauth2-node_exporter-1,update_client_400_clientProfile,0,0,15.293396,40.367932,25.074535,0,5,0,0.114367979,0.193351911,1078945869824,0.000820406,65536,2889923,2150562,73112626,3842936840,73728,0.192531504,0,204885857,84131537,1739745349,65536,0,1,0,61440,17166336,10715136,0,15581184,15581184,1332863,0,0,10700,32328261,0,0,8559,0,100000,2597,0,0,0,1739743203,0
1739745351,LO2_run_1739743201,light-oauth2-node_exporter-1,update_client_400_clientProfile,0,0,15.298133,40.385102,25.086968,0,5,0,0.114368499,0.193352661,1078945869824,0.000820406,65536,2889923,2150562,73112626,3842942872,73728,0.192532255,0,204886183,84131770,1739745350,65536,0,1,0,61440,17166336,11386880,0,16252928,16252928,1333486,0,0,10705,32343367,0,0,8563,0,100000,2597,0,0,0,1739743203,0
1739745352,LO2_run_1739743201,light-oauth2-node_exporter-1,update_client_400_clientProfile,0,0,15.298133,40.385102,25.086968,0,5,0,0.114368499,0.193352661,1078945869824,0.000820406,65536,2889923,2150562,73112626,3842942872,73728,0.192532255,0,204886183,84131770,1739745351,65536,0,1,0,61440,17166336,11386880,0,16252928,16252928,1333486,0,0,10705,32343367,0,0,8563,0,100000,2597,0,0,0,1739743203,0
1739745353,LO2_run_1739743201,light-oauth2-node_exporter-1,update_client_400_clientProfile,0,0,15.306052,40.403974,25.097922,0,5,1,0.114369796,0.193354389,1078945869824,0.000820406,65536,2889923,2150562,73112626,3842962008,73728,0.192533982,0,204887353,84132350,1739745352,65536,0,1,0,61440,17166336,10530816,0,15396864,15396864,1334109,0,0,10710,32358486,0,0,8567,0,100000,2597,0,0,0,1739743203,0
1739745354,LO2_run_1739743201,light-oauth2-node_exporter-1,update_client_400_clientProfile,0,0,15.306052,40.403974,25.097922,0,5,1,0.114369796,0.193354389,1078945869824,0.000820406,65536,2889923,2150562,73112626,3842962008,73728,0.192533982,0,204887353,84132350,1739745353,65536,0,1,0,61440,17166336,10530816,0,15396864,15396864,1334109,0,0,10710,32358486,0,0,8567,0,100000,2597,0,0,0,1739743203,0
1739745355,LO2_run_1739743201,light-oauth2-node_exporter-1,update_client_400_clientProfile,0,0,15.319052,40.442959,25.123907,0,5,1,0.114371334,0.193356386,1078945869824,0.000820406,65536,2889923,2150562,73112626,3842981944,73728,0.192535979,0,204888639,84132893,1739745354,65536,0,1,0,61440,17166336,10539008,0,15405056,15405056,1335355,0,0,10720,32388702,0,0,8575,0,100000,2597,0,0,0,1739743203,0
1739745356,LO2_run_1739743201,light-oauth2-node_exporter-1,update_client_400_clientProfile,0,0,15.32732,40.46171,25.134389,0,5,1,0.114372394,0.193357645,1078945869824,0.000820406,65536,2889923,2150562,73112626,3842995432,73728,0.192537238,0,204889634,84133244,1739745355,65536,0,1,0,61440,17166336,10534912,0,15400960,15400960,1335978,0,0,10725,32403828,0,0,8579,0,100000,2597,0,0,0,1739743203,0
1739745357,LO2_run_1739743201,light-oauth2-node_exporter-1,update_client_400_clientProfile,0,0,15.32732,40.46171,25.134389,0,5,1,0.114372394,0.193357645,1078945869824,0.000820406,65536,2889923,2150562,73112626,3842995432,73728,0.192537238,0,204889634,84133244,1739745356,65536,0,1,0,61440,17166336,10534912,0,15400960,15400960,1335978,0,0,10725,32403828,0,0,8579,0,100000,2597,0,0,0,1739743203,0
